x,Curve1
326.2,0.01558
350.86,0.07481
372.43,0.14026
389.38,0.20883
407.88,0.2774
432.53,0.33662
458.73,0.38961
489.55,0.43636
521.92,0.47688
557.36,0.50805
591.27,0.53922
626.71,0.57039
662.16,0.60468
696.06,0.64208
729.97,0.67636
762.33,0.71688
794.69,0.76052
825.51,0.80416
856.34,0.85091
887.16,0.89766
917.98,0.94753
948.8,0.99117
982.71,0.9787
1004.28,0.91325
1016.61,0.84156
1028.94,0.76675
1036.64,0.68883
1045.89,0.61403
1055.14,0.53922
1065.92,0.46442
1078.25,0.38961
1089.04,0.31481
1099.83,0.24
1112.16,0.16831
1126.03,0.09351
1141.44,0.02182
