x,Curve1
2049,0.00462
2858.3,-0.00243
3520.4,-0.0002
4280.7,-0.00029
4869.2,0.00889
5163.5,0.0482
5188,0.20329
5237.1,0.29357
5261.6,0.47875
5335.1,0.613
5433.2,0.67317
5531.3,0.6176
5604.9,0.56204
5629.4,0.51342
5752,0.49026
5923.7,0.55042
5997.3,0.69856
6095.4,0.73558
6193.5,0.77492
6291.6,0.80269
6414.2,0.75638
6536.8,0.74479
6733,0.78643
6757.5,0.8142
6880.1,0.82808
7198.9,0.84424
7444.1,0.85578
7615.8,0.86733
7738.4,0.87195
7910.1,0.8372
8106.3,0.8094
8302.5,0.78391
8449.6,0.80241
8596.7,0.83017
8621.3,0.85332
8694.8,0.87645
8940.1,0.84864
9185.3,0.82315
9307.9,0.80925
9504.1,0.79302
9798.4,0.77677
9970,0.77444
10239.8,0.78829
10411.4,0.8091
10583.1,0.81834
10852.9,0.80442
11073.6,0.79281
11318.8,0.79741
11564,0.80896
11760.2,0.81124
12079,0.795
12397.8,0.75098
12495.9,0.73708
12814.7,0.72315
13280.7,0.68836
13624,0.70915
13918.3,0.73921
14089.9,0.77159
14212.5,0.79473
14335.1,0.80628
14531.3,0.77617
14825.6,0.76224
15144.4,0.73674
15365.1,0.71819
15561.3,0.68576
15831.1,0.62554
16125.3,0.55374
16321.5,0.51899
16419.6,0.48426
16468.7,0.44258
16640.3,0.41478
16861,0.43096
17057.2,0.46797
17327,0.50497
17596.7,0.52114
18062.7,0.53266
18528.6,0.5326
18896.5,0.54181
19092.6,0.53715
19558.6,0.53941
19803.8,0.52549
19926.4,0.52084
