x,Curve1
698.71,0.08158
750.45,0.10579
801.24,0.13731
835.73,0.17375
867.35,0.23818
894.18,0.30385
921.97,0.42186
952.63,0.55082
974.67,0.60311
1000.54,0.64687
1041.74,0.6845
1086.78,0.70386
1120.32,0.72934
1162.48,0.76332
1209.43,0.80215
1255.42,0.83734
1301.41,0.864
1354.11,0.88943
1411.61,0.91485
1477.72,0.93659
1534.25,0.95227
1566.83,0.95706
1593.66,0.9509
1610.91,0.93138
1629.11,0.90577
1642.53,0.87409
1652.11,0.83024
1660.73,0.78639
1667.44,0.73159
1675.11,0.68775
1684.69,0.62321
1692.36,0.55745
1699.06,0.49292
1706.73,0.43446
1720.14,0.32852
1725.89,0.25912
1733.56,0.19336
1743.14,0.12517
1749.85,0.0655
1752.72,0.04358
