x,Curve1
403.648,0.08915
424.247,0.10657
444.843,0.12593
464.542,0.14529
485.138,0.16465
505.731,0.18594
524.524,0.21111
544.22,0.2324
563.91,0.25757
583.603,0.2808
603.296,0.30403
622.089,0.3292
640.879,0.3563
658.772,0.3834
676.661,0.41244
694.551,0.44148
712.444,0.46858
730.334,0.49761
750.027,0.52085
771.526,0.53633
793.035,0.54601
814.543,0.55569
836.058,0.5615
857.576,0.56537
879.996,0.56537
901.527,0.5615
923.957,0.55569
944.603,0.54408
966.152,0.52859
985.023,0.50536
1000.329,0.46858
1011.16,0.42599
1020.197,0.3834
1028.343,0.33694
1036.487,0.29241
1044.63,0.24789
1054.564,0.2053
1065.398,0.16078
1076.226,0.12012
1088.844,0.08141
1104.149,0.04462
1123.014,0.02527
1143.657,0.01559
