x,Curve1
299.49,0.01006
300.91,0.25451
301.05,0.15578
303.44,0.35087
306.79,0.50833
313.84,0.67518
316.45,0.78799
320.99,0.87728
331.42,0.94539
342.26,0.96647
377.05,0.98508
426.52,0.98247
486.75,0.98455
563.68,0.98895
731.96,0.99076
825.57,0.99286
1013.89,0.99244
1177.61,0.99448
1379.9,0.9918
1612.2,0.99383
1856.1,0.98649
2106.1,0.96037
2341.2,0.92724
2580,0.87063
2657.3,0.83766
2666.5,0.72482
2699.3,0.62372
2732.6,0.51087
2750.2,0.39097
2776.2,0.26167
2777.4,0.24908
2811,0.11121
2928.9,0.11347
3087.9,0.10866
3314,0.0615
3463.6,0.03556
3587.7,0.03548
3749,0.04715
3952.4,0.05174
4130.7,0.03049
4291.6,0.01866
4485.2,-0.00024
