x,Curve1
755.36,1.48997e-09
765.11,0.18811
784.6,0.42162
808.97,0.67459
843.08,0.87568
872.32,0.96
930.8,1.02162
1008.77,1.06054
1115.98,1.08
1252.44,1.09946
1364.52,1.09946
1559.45,1.1027
1910.33,1.09946
2144.25,1.09297
2504.87,1.09297
2836.26,1.08973
3109.16,1.08
3425.93,1.08649
3572.12,1.0573
3732.94,0.99892
3820.66,0.92108
3874.27,0.81081
3888.89,0.66486
3903.51,0.51892
3918.13,0.40541
3923,0.30811
3937.62,0.19135
3961.99,0.13946
4010.72,0.12
4088.69,0.11027
4142.3,0.07784
4176.41,0.04865
4249.51,0.04216
4376.22,0.04216
4488.3,0.03892
4556.53,0.02919
4580.9,2.85032e-10
