x,Curve1
250.89,0.02512
262.9,0.11084
273.97,0.20394
285.97,0.29409
297.98,0.38128
305.4,0.41675
337.03,0.4936
350.99,0.52611
362.09,0.6
372.26,0.66798
386.13,0.75517
395.39,0.80985
402.83,0.83202
430.77,0.87931
467.14,0.92069
500.71,0.95468
536.2,0.95764
562.34,0.96946
591.26,0.99163
627.71,0.97685
646.42,0.95911
683.79,0.95616
717.44,0.93695
743.65,0.90296
761.47,0.85862
781.17,0.79951
799.95,0.74039
836.51,0.65616
855.35,0.54975
868.57,0.46108
877.11,0.37241
889.44,0.25567
904.51,0.17143
918.61,0.11823
936.43,0.06798
955.17,0.03251
984.16,0.01182
1023.4,0.00739
1063.56,0.00591
1092.52,0.00443
