x,Curve1,Curve2
300.37,0.0315,0.0053
301.153,0.03635,0.00594
305.999,0.09313,0.0106
310.617,0.22351,0.02097
311.529,0.25698,0.02523
315.162,0.42384,0.05223
315.891,0.46166,0.05705
318.397,0.60873,0.06873
319.072,0.69592,0.0713
321.637,0.78912,0.08108
322.311,0.82512,0.08411
323.43,0.89735,0.09028
325.641,0.96349,0.10608
326.832,0.98473,0.11417
328.645,0.99506,0.12416
332.489,0.96301,0.14574
332.853,0.95598,0.14836
334.435,0.88683,0.16205
336.773,0.82069,0.1894
336.827,0.76507,0.1901
336.995,0.74991,0.19234
338.445,0.65834,0.21289
338.909,0.56965,0.22015
340.532,0.45841,0.25085
340.726,0.44824,0.25548
342.928,0.33214,0.32904
342.93,0.33196,0.32913
344.145,0.24796,0.36294
345.148,0.2103,0.38926
346.107,0.17881,0.42266
346.611,0.15998,0.44488
347.684,0.11568,0.50758
347.689,0.11551,0.50802
348.751,0.0849,0.58618
350.389,0.06306,0.62698
351.708,0.0524,0.66586
352.379,0.04791,0.75755
353.843,0.03942,0.81317
354.931,0.03393,0.86428
356.395,0.0274,0.9199
357.251,0.02398,0.95656
357.491,0.02307,0.96349
360.494,0.01388,0.99506
364.696,0.00757,0.96199
364.85,0.00744,0.95738
365.131,0.00722,0.90336
367.468,0.00589,0.83873
368.673,0.00546,0.76807
369.115,0.00533,0.70193
371.456,0.00485,0.63278
371.531,0.00483,0.62822
372.357,0.00473,0.48397
373.543,0.00461,0.43286
375.123,0.00449,0.36671
375.848,0.00444,0.30488
375.944,0.00443,0.30057
378.285,0.00426,0.23142
379.871,0.00408,0.15927
382.206,0.00365,0.09613
385.663,0.00226,0.04954
390.997,-0.00547,0.02248
399.349,-0.17213,0.01195
408.072,-0.44671,0.00895
414.9,-0.79591,0.00594
